market,candidate,period,evidence_type,months,active_annualized_return,relative_annualized_return,active_sharpe,active_newey_west_t,active_hit_rate,active_max_drawdown,mean_one_way_turnover,net_active_ann_at_10bps,full_sample_mean_ic,full_sample_top_bottom_ann
EU,revision_sleeve,full_period,canonical_exact_sector_tilt,197,0.006682013793093411,0.006775895996009362,0.3720681082114071,1.815177176161165,0.5685279187817259,-0.02984434110342682,0.10251934104538514,0.005451781700548789,0.03568438863656603,0.05115253342451931
EU,baseline_75_core_25,discovery_2010_2017,canonical_exact_sector_tilt,93,0.009083733536172645,0.009210762934348748,0.5791853824735463,1.872149976632412,0.5698924731182796,-0.020820993545002664,0.10601198586877478,0.007811589705747348,0.04576014656226711,0.09410302031557949
EU,baseline_75_core_25,validation_2018_2021,canonical_exact_sector_tilt,48,0.012258408651593333,0.013268888996986306,0.7178157230040243,1.4102617225131888,0.5625,-0.016443105452600082,0.10601198586877478,0.010986264821168035,0.04576014656226711,0.09410302031557949
EU,baseline_75_core_25,holdout_2022_latest,canonical_exact_sector_tilt,53,0.012345335467655039,0.012163293699152034,0.5442774623773482,1.4822007859287536,0.6415094339622641,-0.029942199182732443,0.10601198586877478,0.01107319163722974,0.04576014656226711,0.09410302031557949
EU,baseline_75_core_25,recent_2024_latest,canonical_exact_sector_tilt,29,0.00033554820798364915,9.471959052120837e-05,0.02551572244653716,0.06643260981426495,0.5517241379310345,-0.029942199182732332,0.10601198586877478,-0.0009365956224416481,0.04576014656226711,0.09410302031557949
EU,baseline_75_core_25,full_period,canonical_exact_sector_tilt,194,0.010758995460786291,0.011019883222548765,0.5944244930654299,2.7098683085190665,0.5876288659793815,-0.03073902089337499,0.10601198586877478,0.009486851630360994,0.04576014656226711,0.09410302031557949
EU,baseline_50_core_50,discovery_2010_2017,canonical_exact_sector_tilt,93,0.0056447323273769445,0.005731336579813728,0.3692660229920632,1.1351208093434566,0.5483870967741935,-0.025559225729383517,0.11250164923448548,0.004294712536563119,0.044286694322847334,0.06355157540448864
EU,baseline_50_core_50,validation_2018_2021,canonical_exact_sector_tilt,48,0.01685009984500052,0.017479012532548133,1.03504689659772,2.3979769671008415,0.625,-0.011512199362396003,0.11250164923448548,0.015500080054186696,0.044286694322847334,0.06355157540448864
EU,baseline_50_core_50,holdout_2022_latest,canonical_exact_sector_tilt,53,0.007088167151611868,0.006762906375101574,0.32540303253795433,0.9196729436859246,0.5660377358490566,-0.02860785906280372,0.11250164923448548,0.005738147360798042,0.044286694322847334,0.06355157540448864
EU,baseline_50_core_50,recent_2024_latest,canonical_exact_sector_tilt,29,0.003169623134530841,0.0028587621633884286,0.14146336939482945,0.3824585077433541,0.4827586206896552,-0.02860785906280383,0.11250164923448548,0.0018196033437170153,0.044286694322847334,0.06355157540448864
