Date,Exchange Country Region, Benchmark ICB Supersector ,rows,median_abs_neutral_diff,p90_abs_neutral_diff,max_abs_neutral_diff,neutral_corr
2026-04-30,West Europe,11.0,6,0.0,0.0,0.0,1.0
2026-05-31,North America,2.0,15,1.9999999999999991,5.066666666666667,9.333333333333334,0.15714285714285725
2026-05-31,Asia,9.0,39,2.051282051282051,4.5641025641025665,8.717948717948717,0.44696356275303645
2026-05-31,North America,9.0,98,2.3469387755102042,5.132653061224489,8.26530612244898,0.42234888332090115
2026-05-31,Asia,8.0,11,0.9090909090909092,2.7272727272727284,8.181818181818182,0.5363636363636363
2026-05-31,Asia,13.0,8,2.5,5.75,7.5,0.07142857142857142
2026-05-31,North America,13.0,15,2.0,5.866666666666665,7.333333333333335,0.3714285714285715
2026-05-31,North America,16.0,91,1.3186813186813184,3.846153846153846,7.252747252747252,0.6440516005733397
2026-05-31,North America,14.0,28,1.071428571428572,4.285714285714285,7.142857142857142,0.6020799124247399
2026-05-31,North America,18.0,20,2.75,6.050000000000001,7.0,0.2556390977443609
2026-05-31,North America,1.0,6,4.166666666666667,6.666666666666668,6.666666666666668,-0.42857142857142855
2026-05-31,West Europe,12.0,15,1.3333333333333333,2.666666666666668,6.666666666666668,0.6642857142857143
2026-05-31,Asia,6.0,6,1.6666666666666679,5.833333333333334,6.666666666666667,0.19999999999999987
2026-05-31,West Europe,9.0,66,1.6666666666666665,4.090909090909091,6.666666666666666,0.5919006366767561
2026-05-31,West Europe,19.0,23,1.3043478260869565,4.608695652173913,6.521739130434782,0.508893280632411
2026-05-31,North America,17.0,13,1.5384615384615392,3.0769230769230775,6.153846153846153,0.6373626373626374
2026-05-31,North America,8.0,57,1.2280701754385963,3.82456140350877,6.140350877192983,0.7098133264194975
2026-05-31,West Europe,5.0,20,1.0,4.050000000000001,6.0,0.7082706766917292
2026-05-31,North America,7.0,17,1.1764705882352944,4.352941176470589,5.882352941176469,0.6323529411764708
2026-05-31,Asia,14.0,7,1.4285714285714297,4.857142857142858,5.714285714285714,0.5000000000000001
2026-05-31,North America,10.0,23,1.3043478260869565,3.4782608695652177,5.6521739130434785,0.6956521739130435
2026-05-31,West Europe,16.0,18,2.2222222222222223,5.166666666666667,5.555555555555556,0.413828689370485
2026-05-31,Asia,1.0,11,0.9090909090909101,2.7272727272727266,5.454545454545455,0.6999999999999997
2026-05-31,North America,11.0,11,0.9090909090909096,5.454545454545454,5.454545454545455,0.4545454545454544
2026-05-31,West Europe,3.0,13,2.307692307692308,3.846153846153847,5.384615384615385,0.5329670329670328
2026-05-31,North America,6.0,36,1.1111111111111112,3.611111111111111,5.277777777777778,0.7178893178893181
2026-05-31,Asia,16.0,24,2.291666666666667,4.874999999999999,5.000000000000001,0.46260869565217394
2026-05-31,Asia,2.0,8,2.5,4.125,5.0,0.4761904761904762
2026-05-31,North America,15.0,28,1.0714285714285714,2.9642857142857153,5.0,0.7909140667761356
2026-05-31,West Europe,10.0,24,1.4583333333333335,3.333333333333333,5.0,0.737391304347826
2026-05-31,West Europe,14.0,10,1.0,4.1,5.0,0.7212121212121211
2026-05-31,West Europe,18.0,8,2.5,5.0,5.0,0.4285714285714285
2026-05-31,West Europe,4.0,11,0.9090909090909092,2.7272727272727266,4.545454545454545,0.7909090909090908
2026-05-31,Asia,15.0,7,1.4285714285714284,3.4285714285714293,4.285714285714286,0.7142857142857143
2026-05-31,Asia,10.0,7,1.4285714285714288,3.4285714285714284,4.285714285714285,0.6785714285714286
2026-05-31,West Europe,6.0,22,0.9090909090909096,1.818181818181819,4.090909090909093,0.8407679277244497
2026-05-31,North America,19.0,32,2.03125,3.718750000000001,4.0625,0.6554252199413488
2026-05-31,North America,5.0,13,1.5384615384615392,3.692307692307693,3.8461538461538463,0.6758241758241759
2026-05-31,North America,4.0,8,1.25,2.875,3.75,0.8095238095238094
2026-05-31,Pacific,3.0,8,1.25,3.75,3.75,0.6904761904761905
2026-05-31,West Europe,2.0,37,1.3513513513513509,2.8108108108108114,3.513513513513513,0.7965860597439545
2026-05-31,West Europe,7.0,23,1.304347826086956,2.5217391304347823,3.4782608695652173,0.8201581027667983
2026-05-31,Asia,7.0,6,0.0,3.333333333333334,3.333333333333334,0.7714285714285712
2026-05-31,West Europe,1.0,12,1.666666666666666,3.249999999999999,3.333333333333334,0.7902097902097903
2026-05-31,North America,3.0,9,1.1111111111111112,2.4444444444444455,3.333333333333333,0.8166666666666664
2026-05-31,West Europe,8.0,38,0.7894736842105259,2.6315789473684212,3.157894736842106,0.8936426304847359
2026-05-31,West Europe,17.0,16,1.25,2.8125,3.125,0.8294117647058824
2026-05-31,West Europe,13.0,13,1.5384615384615383,2.9230769230769242,3.0769230769230775,0.8186813186813184
2026-05-31,North America,12.0,23,0.43478260869565233,2.608695652173912,3.0434782608695654,0.8725296442687749
2026-05-31,Asia,4.0,7,1.428571428571428,2.8571428571428568,2.857142857142857,0.8214285714285715
2026-05-31,West Europe,15.0,13,0.7692307692307694,2.153846153846154,2.3076923076923075,0.912087912087912
2026-05-31,Asia,3.0,5,0.0,2.0,2.0,0.8999999999999998
2026-05-31,Asia,5.0,5,0.0,2.0,2.0,0.8999999999999998
2026-05-31,Asia,17.0,5,0.0,2.0,2.0,0.8999999999999998
2026-05-31,Pacific,14.0,5,0.0,2.0,2.0,0.8999999999999998
2026-05-31,West Europe,11.0,6,0.0,1.666666666666666,1.666666666666666,0.9428571428571431
2026-06-30,North America,2.0,15,1.3333333333333321,2.666666666666667,8.666666666666666,0.5357142857142859
2026-06-30,Asia,9.0,39,1.7948717948717947,5.384615384615385,8.205128205128204,0.3773279352226721
2026-06-30,North America,9.0,100,1.5999999999999999,4.61,8.2,0.5721212121212118
2026-06-30,Asia,8.0,11,1.8181818181818192,4.545454545454547,8.18181818181818,0.3272727272727272
2026-06-30,North America,11.0,11,2.7272727272727275,6.363636363636363,8.18181818181818,-0.17272727272727265
2026-06-30,North America,16.0,90,0.9999999999999991,3.1111111111111116,7.666666666666667,0.75511380005762
2026-06-30,North America,14.0,28,0.8928571428571432,3.178571428571429,7.499999999999999,0.6759715380405033
2026-06-30,North America,13.0,15,2.0,4.533333333333333,6.666666666666668,0.5285714285714286
2026-06-30,North America,18.0,20,2.0,5.5,6.5,0.41804511278195483
2026-06-30,West Europe,5.0,20,0.75,2.650000000000002,6.5,0.7338345864661654
2026-06-30,West Europe,9.0,67,1.3432835820895521,3.8805970149253732,6.26865671641791,0.6906377204884665
2026-06-30,Asia,13.0,8,3.125,4.5,6.25,0.3095238095238095
2026-06-30,North America,15.0,28,0.35714285714285765,1.7500000000000007,6.071428571428572,0.862068965517241
2026-06-30,Asia,5.0,5,2.0,5.2,6.0,0.3
2026-06-30,North America,8.0,57,1.2280701754385968,3.4035087719298245,5.789473684210526,0.7155820585947629
2026-06-30,Asia,4.0,7,2.8571428571428577,4.8571428571428585,5.714285714285715,0.28571428571428553
2026-06-30,Asia,15.0,7,1.4285714285714284,4.857142857142858,5.714285714285715,0.5000000000000001
2026-06-30,North America,12.0,23,0.8695652173913042,3.0434782608695654,5.652173913043478,0.7885375494071144
2026-06-30,North America,5.0,13,0.76923076923077,3.5384615384615397,5.384615384615385,0.7142857142857142
2026-06-30,West Europe,15.0,13,0.7692307692307683,1.538461538461539,5.384615384615384,0.8076923076923077
2026-06-30,West Europe,19.0,23,1.304347826086956,3.9130434782608696,5.217391304347826,0.6946640316205532
2026-06-30,West Europe,10.0,24,1.666666666666666,4.083333333333333,5.000000000000001,0.6843478260869567
2026-06-30,North America,17.0,14,1.0714285714285716,3.3571428571428577,5.0,0.7494505494505496
2026-06-30,West Europe,18.0,8,1.25,4.125,5.0,0.5476190476190477
2026-06-30,North America,7.0,17,1.1764705882352944,1.7647058823529416,4.705882352941176,0.8529411764705882
2026-06-30,North America,19.0,32,1.5625,4.031250000000001,4.6875,0.6887829912023459
2026-06-30,Asia,16.0,24,2.0833333333333335,3.625,4.583333333333333,0.6043478260869565
2026-06-30,Asia,1.0,11,0.9090909090909092,3.6363636363636367,4.545454545454547,0.7636363636363637
2026-06-30,West Europe,6.0,22,1.1363636363636367,2.681818181818184,4.545454545454545,0.8057594579333711
2026-06-30,West Europe,3.0,12,1.666666666666666,3.249999999999999,4.166666666666666,0.7342657342657344
2026-06-30,North America,6.0,35,1.1428571428571428,2.8571428571428568,4.000000000000001,0.8154061624649859
2026-06-30,North America,10.0,23,1.3043478260869565,2.869565217391305,3.91304347826087,0.8260869565217391
2026-06-30,West Europe,16.0,18,1.666666666666667,3.8888888888888893,3.8888888888888893,0.6470588235294117
2026-06-30,North America,4.0,8,1.25,1.9999999999999996,3.75,0.8333333333333335
2026-06-30,Pacific,3.0,8,1.25,2.875,3.75,0.8095238095238094
2026-06-30,West Europe,8.0,38,0.9210526315789471,2.894736842105263,3.6842105263157894,0.8667250246197613
2026-06-30,West Europe,1.0,11,0.9090909090909087,2.7272727272727284,3.6363636363636367,0.8636363636363634
2026-06-30,West Europe,7.0,23,0.8695652173913029,2.173913043478261,3.4782608695652173,0.8794466403162057
2026-06-30,West Europe,17.0,15,2.0,3.3333333333333335,3.333333333333335,0.7250000000000001
