market,version,candidate_id,component,bucket,weight
eu-small,old,eu_small_syn_loo_without_revision,Daily Vol 260J score_delta lag12,risk_decline,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_revision,growth: EPS Growth FY1,growth,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_revision,momentum: PMOM 12M1M,pmom,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_revision,EV To EBITDA NTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,PB LTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,PB LTM directional_delta lag3,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_revision,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_revision,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_revision,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_revision,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_pmom,Daily Vol 260J score_delta lag12,risk_decline,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_pmom,growth: EPS Growth FY1,growth,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_pmom,momentum: EPS Revision Ratio,revision,0.14285714285714285
eu-small,old,eu_small_syn_loo_without_pmom,EV To EBITDA NTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,PB LTM directional_delta lag1,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,PB LTM directional_delta lag3,value_improvement,0.047619047619047616
eu-small,old,eu_small_syn_loo_without_pmom,Oper Margin directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_pmom,Oper Margin directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_pmom,ROE avg FY0 directional_delta lag1,quality_improvement,0.03571428571428571
eu-small,old,eu_small_syn_loo_without_pmom,ROE avg FY0 directional_delta lag3,quality_improvement,0.03571428571428571
eu-small,old,eu_small_validated_qvm,EPS Revision Ratio（高为好）,momentum,0.15
eu-small,old,eu_small_validated_qvm,PMOM 12M1M（高为好）,momentum,0.15
eu-small,old,eu_small_validated_qvm,NetDebt to EBITDA exFIN（低为好）,quality,0.13333333333333333
eu-small,old,eu_small_validated_qvm,Oper Margin（高为好）,quality,0.13333333333333333
eu-small,old,eu_small_validated_qvm,ROE avg FY0（高为好）,quality,0.13333333333333333
eu-small,old,eu_small_validated_qvm,Earns Yield FY1（高为好）,value,0.09999999999999999
eu-small,old,eu_small_validated_qvm,Earns Yield NTM（高为好）,value,0.09999999999999999
eu-small,old,eu_small_validated_qvm,PFCF LTM（低为好）,value,0.09999999999999999
eu-small,old,eu_small_syn_subset_cdefeb1ebb,EV To EBITDA NTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_cdefeb1ebb,Earns Yield FY1 score_delta lag1,earnings_yield_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_cdefeb1ebb,Earns Yield NTM directional_delta lag1,earnings_yield_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_cdefeb1ebb,Earns Yield NTM score_delta lag1,earnings_yield_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_cdefeb1ebb,PB LTM directional_delta lag1,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_cdefeb1ebb,PB LTM directional_delta lag3,value_improvement,0.1111111111111111
eu-small,old,eu_small_syn_subset_cdefeb1ebb,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_cdefeb1ebb,Oper Margin directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_cdefeb1ebb,ROE avg FY0 directional_delta lag1,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_cdefeb1ebb,ROE avg FY0 directional_delta lag3,quality_improvement,0.08333333333333333
eu-small,old,eu_small_syn_subset_eba89b8a51,momentum: PMOM 12M1M,pmom,0.3333333333333333
eu-small,old,eu_small_syn_subset_eba89b8a51,NetDebt to EBITDA exFIN directional_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_eba89b8a51,NetDebt to EBITDA exFIN score_delta lag1,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_eba89b8a51,NetDebt to EBITDA exFIN score_delta lag3,deleveraging,0.1111111111111111
eu-small,old,eu_small_syn_subset_eba89b8a51,Oper Margin directional_delta lag1,quality_improvement,0.08333333333333333
