Date,Company SEDOL,return,abs_return,severity,reason,review_status,suggested_action,reviewer,review_notes,approved_action,corrected_return
2024-04-05,V05L58-R,1.0092438459396362,1.0092438459396362,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-03-22,H46TW9-R,1.0089547634124756,1.0089547634124756,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2017-10-26,WQQWRF-R,1.0085482597351074,1.0085482597351074,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-10-21,VDT2VP-R,1.008531093597412,1.008531093597412,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-06,L93LBV-R,1.0083227157592773,1.0083227157592773,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-02-19,X32NYV-R,1.00825035572052,1.00825035572052,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2026-05-19,FMC6J5-R,1.008091926574707,1.008091926574707,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2019-01-11,BBD288-R,1.007667064666748,1.007667064666748,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-05-27,GYM5PB-R,1.007582664489746,1.007582664489746,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2021-12-02,GGKD94-R,1.0069217681884766,1.0069217681884766,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-03-30,NGVHQY-R,1.0067651271820068,1.0067651271820068,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2018-10-08,BBD288-R,1.006624698638916,1.006624698638916,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2024-08-28,X32NYV-R,1.006558895111084,1.006558895111084,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-08-26,H6ZV58-R,1.0061781406402588,1.0061781406402588,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2016-07-15,GM3PSR-R,1.0061426162719727,1.0061426162719727,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-25,H6ZV58-R,1.0061378479003906,1.0061378479003906,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-11-19,XN4WDM-R,1.0060622399999999,1.0060622399999999,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
2025-07-10,VDT2VP-R,1.0059928894042969,1.0059928894042969,review,abs_threshold,needs_review,verify_vendor_or_corporate_action_before_cleaning,,,,
