market,version,result_type,source_file,metric,label,candidate_type,buckets,components,component_count,coverage,ratio_cagr,top_worst_ratio_return,ratio_max_drawdown,tracking_error,avg_turnover,robust_score,max_component_robust,max_component_ratio_cagr,max_component_top_worst,synergy_score,classification,left_out,left_out_bucket,full_model_metric,full_robust_score,without_robust_score,loo_contribution,full_ratio_cagr,without_ratio_cagr,ratio_contribution,benchmark,side,status,message,start_date,run_dir,family,role,direction,non_null_rows,first_date,last_date,avg_names_per_month,note,days,avg_holdings,valid,cagr,vol,sharpe,max_drawdown,ratio_return,information_ratio,rolling_3y_min_ratio_cagr,annual_active_hit_rate,perf_ptf,perf_bench,top_worst_ratio_max_drawdown,worst_ratio_return,theme,inputs,min_count,pass_gate,fail_reasons
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_e6a438300f,growth + quality_improvement + earnings_yield_improvement,family_subset,growth|quality_improvement|earnings_yield_improvement,sp500_syn_bucket_growth|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_earnings_yield_improvement,3.0,,0.0439223038119227,2.411219789181113,-0.092414007734196,0.0575579161930798,0.5497209322616056,2.015936139866828,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_f411344412,growth + deleveraging + value_improvement,family_subset,growth|deleveraging|value_improvement,sp500_syn_bucket_growth|sp500_syn_bucket_deleveraging|sp500_syn_bucket_value_improvement,3.0,,0.04009124438286,2.671619012766505,-0.1106899280921315,0.057509409677029,0.6137743868431016,1.9986239009821896,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_d14d07391b,quality_level + quality_improvement + value_improvement,family_subset,quality_level|quality_improvement|value_improvement,sp500_syn_bucket_quality_level|sp500_syn_bucket_quality_improvement|sp500_syn_bucket_value_improvement,3.0,,0.0412026003643994,3.0761569705010308,-0.2063913269005138,0.0516549118345303,0.6142704243079307,1.9980654947341177,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_f3ca7e7d44,growth + deleveraging + risk_decline,family_subset,growth|deleveraging|risk_decline,sp500_syn_bucket_growth|sp500_syn_bucket_deleveraging|sp500_syn_bucket_risk_decline,3.0,,0.0413126313851535,2.419272278310471,-0.0758905460954039,0.0501708393721534,0.6128702643413005,1.9824398104028984,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_9a68df7c05,revision + deleveraging + risk_decline,family_subset,revision|deleveraging|risk_decline,sp500_syn_bucket_revision|sp500_syn_bucket_deleveraging|sp500_syn_bucket_risk_decline,3.0,,0.0432804581423154,2.4177240582426363,-0.1171083544329512,0.0527737424868239,0.6227237664205981,1.9523034963635408,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_41f0020ffd,growth + deleveraging,family_subset,growth|deleveraging,sp500_syn_bucket_growth|sp500_syn_bucket_deleveraging,2.0,,0.0409406765359565,2.423687325499078,-0.093965937054554,0.0591506758805632,0.3136470700249613,1.9517746225608503,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_7f07e5904d,quality_improvement + dividend_growth + risk_decline,family_subset,quality_improvement|dividend_growth|risk_decline,sp500_syn_bucket_quality_improvement|sp500_syn_bucket_dividend_growth|sp500_syn_bucket_risk_decline,3.0,,0.0458623902815193,2.169818759103677,-0.1144077943626425,0.0485302668466564,0.5944558013883722,1.931354953243077,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_ecf51d9e70,growth + earnings_yield_improvement + deleveraging,family_subset,growth|earnings_yield_improvement|deleveraging,sp500_syn_bucket_growth|sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_deleveraging,3.0,,0.0400933866251826,2.398629448375687,-0.081755166073782,0.0570532936932448,0.5299170969997459,1.917737426990446,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_6dad830de9,revision + quality_level + quality_improvement,family_subset,revision|quality_level|quality_improvement,sp500_syn_bucket_revision|sp500_syn_bucket_quality_level|sp500_syn_bucket_quality_improvement,3.0,,0.0410421321510321,2.3129942828074337,-0.0989625342691538,0.0460418389877494,0.3680284887372608,1.8914665356979845,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp500,old,family_subset_results,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\sp500_relative_synergy_20260710\family_subset_results.csv,sp500_syn_subset_af3531008e,earnings_yield_improvement + deleveraging + risk_decline,family_subset,earnings_yield_improvement|deleveraging|risk_decline,sp500_syn_bucket_earnings_yield_improvement|sp500_syn_bucket_deleveraging|sp500_syn_bucket_risk_decline,3.0,,0.0422394800625782,2.4201675959134192,-0.136678019750627,0.0513473785878087,0.7370656179443225,1.8702028273076243,,,,,additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
